,Country Name,Year,Renewables Value,Renewables Share,Non-Renewables Value,Non-Renewables Share,CO2 Emissions,Particulate Matter
68,Colombia,2017,61994.521,0.800811832,15391.195,0.199188168,79687620,16.202
69,Colombia,2018,59670.12308,0.726364681,18018.02761,0.273635319,82426790,15.002
70,Colombia,2019,54698.27015,0.626132557,23380.43363,0.373867443,96438170,14.3
71,Croatia,2015,7611.559,0.593582331,3371.443,0.406417669,17824706,18.76
72,Croatia,2016,8433.404,0.621965487,3850.593,0.378033619,18109014,17.832
73,Croatia,2017,7201.522,0.727696295,4321.377,0.272303705,18743996,18.332
74,Croatia,2018,9717.480248,0.664883638,3464.11975,0.335116361,17724152,19.088
75,Croatia,2019,8281.486968,0.795763773,3968.613027,0.204236227,17857446,15.38
76,Cyprus,2015,396.823,0.073208074,3916.693,0.926791926,6972964,15.39
77,Cyprus,2016,422.103,0.070095206,4245.534,0.929902381,7375415,13.918
78,Cyprus,2017,432.677,0.086985625,4345.599,0.913014375,7525365,14.856
79,Cyprus,2018,474.568456,0.103258586,4352.712548,0.896741414,7342546,15.656
80,Cyprus,2019,511.936738,0.101719659,4401.851265,0.898280343,7343176,14.766
81,Denmark,2010,12134.486,0.296199107,24737.518,0.703800893,49203676,12.444
82,Denmark,2011,13891.649,0.506196466,19657.096,0.493803534,44248110,13.154
83,Denmark,2012,14508.385,0.436446323,14692.006,0.56355397,39870932,11.594
84,Denmark,2013,15667.377,0.57340515,17470.741,0.426594567,41772984,11.108
85,Denmark,2014,17666.24,0.58431332,13149.011,0.415686382,37577748,10.52
86,Denmark,2015,18636.517,0.712729997,9284.628,0.287270003,35227976,10.854
87,Denmark,2016,17974.506,0.61402267,11106.563,0.38597733,37033260,9.896
88,Denmark,2017,21238.905,0.747717876,8399.395,0.252282124,34780268,10.086
89,Denmark,2018,20360.45283,0.673716647,8953.847164,0.326283353,34724976,10.136
90,Denmark,2019,22679.31856,0.780778643,6010.499441,0.219221357,30955444,9.77
91,Estonia,2010,971.987,0.08396102,10760.011,0.91603898,19002518,8.538
92,Estonia,2011,1102.37,0.117197003,10564.632,0.882802997,18984222,7.718
93,Estonia,2012,1351.56,0.129484416,9175.441,0.870515584,17794826,7.44
94,Estonia,2013,1144.092,0.153175683,10678.914,0.846824317,19697904,7.696
95,Estonia,2014,1297.064,0.145573849,9715.937,0.854426151,18860398,7.91
96,Estonia,2015,1396.847,0.19482735,7665.154,0.80517265,15846900,6.8
97,Estonia,2016,1444.793,0.163865052,8988.886,0.836134948,17559352,6.244
98,Estonia,2017,1689.635,0.176163371,9558.855,0.823836629,18762488,5.944
99,Estonia,2018,1828.663306,0.185537041,9104.138693,0.814462958,17935074,6.754
100,Estonia,2019,1940.04986,0.35364781,4660.05014,0.64635219,12380190,6.398
101,Finland,2010,23435.425,0.274464931,53784.308,0.725534949,64080756,7.678
102,Finland,2011,23407.943,0.374338986,47005.353,0.625660692,56637172,7.66
103,Finland,2012,27777.686,0.356826986,39929.057,0.643173155,51145690,6.866
104,Finland,2013,24828.089,0.379207207,43525.372,0.620792952,51703750,6.732
105,Finland,2014,25509.815,0.384591796,39947.934,0.615408204,47595830,6.254
106,Finland,2015,29759.398,0.442873763,36394.124,0.557126237,44099096,6.29
107,Finland,2016,29614.757,0.425184457,36588.477,0.574815543,47181860,5.818
108,Finland,2017,30673.984,0.466033316,34369.203,0.533966684,44577796,5.77
109,Finland,2018,31229.92687,0.420427007,36302.74112,0.579572992,45796460,5.974
110,Finland,2019,30976.8402,0.483116839,35075.6382,0.516883161,42381840,5.834
111,France,2010,81923.204,0.146684091,462375.654,0.853315909,376645400,14.67
112,France,2011,70281.812,0.152896897,477970.947,0.847103085,354602460,14.946
113,France,2012,89051.02,0.169578486,458961.826,0.830421532,356912580,13.49
114,France,2013,103151.674,0.156859866,454619.22,0.843140152,358623360,13.15
115,France,2014,98533.057,0.161088495,449972.911,0.838911505,327107260,12.064
116,France,2015,95647.624,0.140606694,459479.166,0.859393287,331580000,12.398
117,France,2016,102600.669,0.144434895,437819.091,0.855565105,334439780,11.424
118,France,2017,96631.443,0.183024722,441217.778,0.816975278,337457540,11.47
119,France,2018,117591.126,0.187650494,440206.684,0.812349505,322526820,11.406
120,France,2019,116574.6198,0.267325931,430465.8602,0.732674069,316386780,10.62
121,Germany,2010,107981.966,0.148019465,486432.04,0.851980553,832540900,15.202
122,Germany,2011,125766.644,0.271933062,450480.357,0.728066938,808911500,15.562
123,Germany,2012,144484.215,0.231471717,446946.791,0.768528302,813693060,13.882
124,Germany,2013,153312.682,0.28724415,447613.314,0.712755832,831207600,13.388
125,Germany,2014,163281.499,0.293900911,427592.5,0.706099053,792255400,12.58
126,Germany,2015,188901.308,0.338549069,421390.696,0.661450968,795556600,12.752
127,Germany,2016,189697.468,0.2804905,424634.532,0.7195095,800339840,11.754
128,Germany,2017,216528.135,0.396383877,402524.872,0.603616123,785616450,11.874
129,Germany,2018,224773.1557,0.393838709,384138.8444,0.606161291,754408450,11.788
130,Germany,2019,239316.7581,0.447310898,336547.2419,0.552689102,707149950,10.814
131,Greece,2010,10501.954,0.308324725,42887.052,0.691675275,97354150,19.788
132,Greece,2011,8372.052,0.145858692,45541.26,0.854141308,94505230,19.65
133,Greece,2012,9424.246,0.215235535,44229.755,0.784764047,91392584,17.774
134,Greece,2013,14354.967,0.20998948,38205.03,0.79001052,81713256,17.406
135,Greece,2014,12274.448,0.249233973,34427.551,0.750766027,78639620,15.688
136,Greece,2015,14562.704,0.212718365,33243.294,0.787281414,74927624,16.526
137,Greece,2016,14886.334,0.249269868,35340.474,0.750730132,71364170,15.248
138,Greece,2017,13842.725,0.301097174,36746.489,0.698902826,74845050,15.27
139,Greece,2018,15435.6869,0.223570423,34647.9671,0.776429577,71781990,15.764
140,Greece,2019,16071.37411,0.377836946,29485.62589,0.622163054,65756230,14.686
141,Hungary,2010,2808.989,0.068184504,31803.868,0.931815496,52068732,19.91
142,Hungary,2011,2544.289,0.062391129,30989.152,0.937608871,50191330,20.72
143,Hungary,2012,2495.515,0.069360078,29855.395,0.930639922,46757480,18.47
144,Hungary,2013,2586.858,0.099760113,25443.767,0.900239887,43611550,17.784
145,Hungary,2014,2892.04,0.089544611,24248.951,0.910455009,43729844,18.062
146,Hungary,2015,2989.11,0.086537576,25160.918,0.91346205,46653468,17.518
147,Hungary,2016,3027.353,0.105354532,26520.656,0.894645468,47113090,16.514
148,Hungary,2017,3274.518,0.135489994,27424.478,0.864510006,49515228,16.948
149,Hungary,2018,3536.94958,0.094108446,26329.0504,0.905891554,49463316,17.594
150,Hungary,2019,4468.061637,0.114165451,27668.93836,0.885834549,49234644,14.528
151,Iceland,2010,16743.999,0.999887913,2.004,0.000112087,3616621,7.23
152,Iceland,2011,16848.998,0.999919186,2,8.08E-05,3494164,7.802
153,Iceland,2012,17292.999,0.999316575,3,0.000683425,3490870,6.948
154,Iceland,2013,17995,0.99971999,4.998,0.000279379,3480080,6.68
155,Iceland,2014,17800,0.999812729,3,0.000187271,3436352,6.306
156,Iceland,2015,18554.002,0.998972288,3.999,0.001028336,3533853,6.712
157,Iceland,2016,18168.608,0.999788539,3,0.000211461,3485184,5.938
158,Iceland,2017,18844.21,0.999970538,2.085,2.95E-05,3601620,6.002
159,Iceland,2018,19430.623,0.999920949,1.874998,7.91E-05,3658953,6.138
160,Iceland,2019,19117.132,0.999226405,2.661,0.000773595,3546263,6.034
161,India,2015,189413.2087,0.124572956,1013968.361,0.875427044,2270766000,56.254
162,India,2016,230497.9024,0.145783051,1120615.682,0.854216949,2383816000,53.732
163,India,2017,244981.8758,0.153179287,1160883.181,0.846820713,2434868000,52
164,India,2018,274527.3227,0.156671557,1245010.554,0.843328443,2600446500,56.232
165,India,2019,310518.427,0.171391815,1223419.461,0.828608185,2626459400,50.87
166,Ireland,2010,3886.106,0.115747183,23555.447,0.884252817,41793616,10.1
167,Ireland,2011,5404.206,0.310389371,20961.037,0.689610629,38056380,10.806
168,Ireland,2012,5440.341,0.262301066,21038.726,0.737698934,38227156,9.614
169,Ireland,2013,5943.618,0.347876196,19172.589,0.652124236,37281748,9.506
170,Ireland,2014,6640.248,0.355557646,18672.379,0.644442354,36853016,8.906
171,Ireland,2015,8123.493,0.43508387,19501.823,0.564915746,38718040,9.33
172,Ireland,2016,7771.718,0.318021416,21919.874,0.681978584,40369540,8.226
173,Ireland,2017,9050.607,0.373447489,21041.883,0.626552511,39078030,8.282
174,Ireland,2018,10396.35258,0.53899126,19955.93942,0.46100874,39012370,8.46
175,Ireland,2019,12002.99945,0.489951191,18271.29262,0.510048809,37325664,8.348
176,Italy,2010,78785.184,0.260861046,211961.061,0.739138954,436117440,20.002
177,Italy,2011,83318.159,0.279375842,208123.917,0.720624158,424256260,20.616
178,Italy,2012,92377.523,0.332549585,195425.855,0.667450458,403696900,18.422
179,Italy,2013,111672.887,0.346155528,167160.503,0.653844472,369679700,17.812
180,Italy,2014,119834.336,0.382520169,149313.602,0.617479876,349390340,16.602
181,Italy,2015,108039.839,0.271162385,164388.581,0.72883757,361163170,17.188
182,Italy,2016,107598.961,0.298712892,172103.661,0.701287108,358182560,15.74
183,Italy,2017,103493.942,0.319546101,181771.708,0.680453899,352735400,15.654
184,Italy,2018,113831.1327,0.369049007,166013.4863,0.630950993,349005020,15.892
185,Italy,2019,115359.6685,0.446901539,168590.3875,0.553098461,339233200,14.154
