Country Name,Year,Renewables Share,Non-Renewables Share,Population
Argentina,2015,0.2471049158618809,0.7528950841381191,3450557.2800000003
Argentina,2016,0.2136717540988577,0.7863281663159213,3487229.44
Argentina,2017,0.2499919925078557,0.7500080074921444,3523584.88
Argentina,2018,0.3241077534041983,0.6758922466862889,3559560.16
Argentina,2019,0.2753382843340587,0.7246617156659413,3595096.96
Australia,2015,0.1431706182279981,0.8568293817720019,1905279.6
Australia,2016,0.1856202631776513,0.8143797368223488,1935272.56
Australia,2017,0.1585246074616004,0.8414753925860702,1967536.1600000001
Australia,2018,0.2237377154562991,0.7762622844963423,1997331.44
Australia,2019,0.2487035720069428,0.7512964279474694,2027217.36
Austria,2015,0.6150251406305361,0.3849750738433636,691415.92
Austria,2016,0.6055683162803648,0.3944316837196352,698933.4400000001
Austria,2017,0.7246068087105476,0.2753931912894524,703805.28
Austria,2018,0.6560830678345245,0.3439169323267533,707241.68
Austria,2019,0.702194169110834,0.297805830889166,710393.6
Belgium,2015,0.2365968730549147,0.7634029726880143,901935.68
Belgium,2016,0.1474084378265412,0.8525915621734587,906513.76
Belgium,2017,0.204713206334573,0.795286793665427,910012.64
Belgium,2018,0.2748134153368585,0.7251865844936862,914164.3200000001
Belgium,2019,0.248266406086541,0.7517335937894944,919118.4
Brazil,2015,0.7659496899891483,0.2340503311735911,16415056.4
Brazil,2016,0.8386322180775598,0.16136778192244,16548766.24
Brazil,2017,0.7934947464164053,0.2065052535835947,16680396.8
Brazil,2018,0.896369074034796,0.1036309259652039,16813327.36
Brazil,2019,0.7864830279827577,0.2135169720361126,16942630.240000002
Bulgaria,2015,0.1111762789977103,0.888823964975243,574239.28
Bulgaria,2016,0.1283958925337933,0.8716038666099529,570225.76
Bulgaria,2017,0.1388664535085144,0.8611338109556943,566075.76
Bulgaria,2018,0.1787512149526753,0.8212487850473247,562002.96
Bulgaria,2019,0.1669623860550208,0.8330376142142198,558060.88
Canada,2015,0.6579697033698336,0.3420302966301665,2856232.64
Canada,2016,0.6827026485571525,0.3172973514428476,2888758.96
Canada,2017,0.689927588077758,0.310072411922242,2923618.88
Canada,2018,0.6905597398666804,0.3094402601498512,2965206.72
Canada,2019,0.6975004868539936,0.3024995131295406,3008098.4
Chile,2015,0.5674322715479033,0.4325678902109983,1429609.92
Chile,2016,0.4970205525685243,0.5029794474314757,1446710.32
Chile,2017,0.5621523313759378,0.4378476686240622,1469486.16
Chile,2018,0.5504433628165418,0.4495566376523206,1496116.0
Chile,2019,0.5114142704270006,0.4885857297160721,1523158.8
Colombia,2015,0.5308598708266604,0.4691401291733396,3769578.24
Colombia,2016,0.7878027711583833,0.2121972288416167,3810076.4
Colombia,2017,0.8008118318120371,0.1991881681879629,3868133.68
Colombia,2018,0.726364680746516,0.2736353191006044,3942156.88
Colombia,2019,0.6261325568702057,0.373867443445387,4014992.48
Croatia,2015,0.5935823313640731,0.4064176686359269,336288.32
Croatia,2016,0.6219654873766242,0.3780336188381328,333947.92
Croatia,2017,0.7276962947202467,0.2723037052797533,329962.48
Croatia,2018,0.664883638271186,0.3351163608877036,327027.44
Croatia,2019,0.7957637726729764,0.2042362273270235,325220.24
Cyprus,2015,0.0732080739721541,0.926791926027846,94982.40000000001
Cyprus,2016,0.0700952059174882,0.92990238075127,95830.48
Cyprus,2017,0.0869856246669897,0.9130143753330102,96681.84
Cyprus,2018,0.1032585856621475,0.8967414143378524,97506.48
Cyprus,2019,0.101719659403567,0.89828034327031,98306.88
Denmark,2015,0.7127299966265295,0.2872700033734706,454678.64
Denmark,2016,0.6140226699005098,0.3859773300994901,458240.8
Denmark,2017,0.7477178756744975,0.2522821243255024,461198.4
Denmark,2018,0.6737166472754444,0.3262833530397206,463490.88
Denmark,2019,0.7807786431838144,0.2192213571205697,465153.76
Estonia,2015,0.194827349777889,0.8051726502221109,105232.56
Estonia,2016,0.163865051568498,0.8361349484315019,105263.2
Estonia,2017,0.1761633711656089,0.8238366288343911,105390.72
Estonia,2018,0.1855370412150103,0.814462957523616,105758.16
Estonia,2019,0.3536478102282706,0.6463521897717294,106151.84
Finland,2015,0.4428737632414494,0.5571262367585506,438362.48
Finland,2016,0.4251844568490977,0.5748155431509023,439624.24
Finland,2017,0.4660333161006215,0.5339666838993784,440657.12
Finland,2018,0.4204270072377997,0.5795729920099099,441242.0
Finland,2019,0.4831168390121579,0.516883161301268,441728.48
France,2015,0.1406066939599259,0.8593932871233795,5323861.76
France,2016,0.1444348953444323,0.8555651046555677,5337928.32
France,2017,0.1830247218104101,0.8169752781895898,5353441.600000001
France,2018,0.1876504944815777,0.8123495054999476,5372667.84
France,2019,0.2673259306205993,0.7326740693794007,5391040.08
Germany,2015,0.3385490687909316,0.6614509678887132,6534928.88
Germany,2016,0.2804905004564081,0.7195094995435918,6587893.5200000005
Germany,2017,0.3963838770483162,0.6036161229516838,6612560.16
Germany,2018,0.3938387085531896,0.6061612914468103,6632462.5600000005
Germany,2019,0.4473108977616222,0.5526891021782645,6647436.96
Greece,2015,0.212718365206547,0.7872814144590072,865670.64
Greece,2016,0.2492698675888509,0.750730132411149,862077.68
Greece,2017,0.3010971744210944,0.6989028255789056,860374.3200000001
Greece,2018,0.2235704232754742,0.7764295767245258,858630.56
Greece,2019,0.3778369464580796,0.6221630535419204,857726.56
Hungary,2015,0.0865375756790422,0.9134620498112846,787442.24
Hungary,2016,0.1053545323087814,0.8946454676912186,785121.84
Hungary,2017,0.135489993841628,0.864510006158372,783037.28
Hungary,2018,0.0941084463286736,0.9058915536713265,782045.12
Hungary,2019,0.114165450865115,0.8858345491348849,781691.28
Iceland,2015,0.9989722879439648,0.0010283356677197,26465.2
Iceland,2016,0.9997885394665672,0.0002114605334327,26835.12
Iceland,2017,0.9999705378525462,2.9462147453839127e-05,27472.0
Iceland,2018,0.9999209491867542,7.905022710674936e-05,28217.68
Iceland,2019,0.9992264048424848,0.0007735945564313,28845.04
India,2015,0.1245729559644032,0.8754270440259895,105829320.4
India,2016,0.1457830508391567,0.8542169491343156,107090907.2
India,2017,0.1531792868037998,0.8468207131789984,108335654.4
India,2018,0.1566715570928783,0.8433284429152416,109520264.48
India,2019,0.1713918151935494,0.828608184814648,110648964.0
Ireland,2015,0.4350838701711913,0.5649157463960194,376156.56
Ireland,2016,0.3180214160104245,0.6819785839895756,380426.8
Ireland,2017,0.3734474892676039,0.6265525107323962,384591.04
Ireland,2018,0.5389912604797346,0.4610087395202654,389385.28
Ireland,2019,0.4899511910475154,0.5100488086025944,394747.2
Italy,2015,0.2711623845941668,0.7288375697762255,4858446.5600000005
Italy,2016,0.2987128917454568,0.7012871082545433,4850199.84
Italy,2017,0.3195461009890108,0.6804538990109891,4842936.72
Italy,2018,0.3690490069780054,0.6309509930219946,4833740.8
Italy,2019,0.4469015392314678,0.5530984607241994,4778326.48
Japan,2015,0.1245109627700269,0.8679191375078206,10171280.0
Japan,2016,0.1306635793965576,0.8693364206034424,10166080.0
Japan,2017,0.1248285128397871,0.8751714871602129,10157760.0
