Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021
Denmark,DNK,"Population, total",SP.POP.TOTL,5683483,5728010,5764980,5793636,5814422,5831404,5856733
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10405832,10527592,10647244,10765531,10881882,10999664,11117873
Algeria,DZA,"Population, total",SP.POP.TOTL,39543154,40339329,41136546,41927007,42705368,43451666,44177969
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2049809214,2065223450,2080968782,2094573278,2106439246,2116424876,2123673456
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3166642585,3210110979,3252529883,3294298709,3335463995,3375134276,3411889059
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2294507020,2310721864,2327134580,2341387076,2353862247,2363940425,2370204347
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,391695432,394321096,396482489,398076771,399592320,400811771,401575218
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,908123143,912374705,915855416,918782553,921179725,923103879,923777214
Ecuador,ECU,"Population, total",SP.POP.TOTL,16195902,16439585,16696944,17015672,17343740,17588595,17797737
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,97723799,99784030,101789386,103740765,105618671,107465134,109262178
Euro area,EMU,"Population, total",SP.POP.TOTL,339514675,340509447,341246081,342065158,342452734,342913447,343067846
Eritrea,ERI,"Population, total",SP.POP.TOTL,3340006,3365287,3396933,3445374,3498818,3555868,3620312
Spain,ESP,"Population, total",SP.POP.TOTL,46444832,46484062,46593236,46797754,47134837,47365655,47415750
Estonia,EST,"Population, total",SP.POP.TOTL,1315407,1315790,1317384,1321977,1326898,1329522,1330932
Ethiopia,ETH,"Population, total",SP.POP.TOTL,102471895,105293228,108197950,111129438,114120594,117190911,120283026
European Union,EUU,"Population, total",SP.POP.TOTL,444570054,445515422,446215182,447001100,447367191,447692315,447199800
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,876118480,895949553,916099469,936387926,957446713,979418527,1001462452
Finland,FIN,"Population, total",SP.POP.TOTL,5479531,5495303,5508214,5515525,5521606,5529543,5541017
Fiji,FJI,"Population, total",SP.POP.TOTL,917200,918371,919019,918996,918465,920422,924610
France,FRA,"Population, total",SP.POP.TOTL,66548272,66724104,66918020,67158348,67388001,67571107,67749632
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,48816,49500,50230,50955,51681,52415,52889
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,109462,109925,110430,110929,111379,112106,113131
Gabon,GAB,"Population, total",SP.POP.TOTL,2028517,2086206,2140215,2192012,2242785,2292573,2341179
United Kingdom,GBR,"Population, total",SP.POP.TOTL,65116219,65611593,66058859,66460344,66836327,67081000,67326569
Georgia,GEO,"Population, total",SP.POP.TOTL,3725276,3727505,3728004,3726549,3720161,3722716,3708610
Ghana,GHA,"Population, total",SP.POP.TOTL,28870939,29554303,30222262,30870641,31522290,32180401,32833031
Gibraltar,GIB,"Population, total",SP.POP.TOTL,32520,32565,32602,32648,32685,32709,32669
Guinea,GIN,"Population, total",SP.POP.TOTL,11625998,11930985,12240789,12554864,12877539,13205153,13531906
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2253133,2317206,2381182,2444916,2508883,2573995,2639916
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1788919,1834552,1879826,1924955,1970457,2015828,2060721
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1346973,1398927,1450694,1502091,1553031,1596049,1634466
Greece,GRC,"Population, total",SP.POP.TOTL,10820883,10775971,10754679,10732882,10721582,10698599,10641221
Grenada,GRD,"Population, total",SP.POP.TOTL,118980,119966,120921,121838,122724,123663,124610
Greenland,GRL,"Population, total",SP.POP.TOTL,56114,56186,56171,56023,56225,56367,56653
Guatemala,GTM,"Population, total",SP.POP.TOTL,15567419,15827690,16087418,16346950,16604026,16858333,17109746
Guam,GUM,"Population, total",SP.POP.TOTL,167978,168346,168606,168678,168624,169231,170534
Guyana,GUY,"Population, total",SP.POP.TOTL,755031,759087,763252,785514,798753,797202,804567
High income,HIC,"Population, total",SP.POP.TOTL,1211637779,1218545401,1224733163,1230678232,1235869243,1240900955,1240629858
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7291300,7336600,7393200,7452600,7507900,7481000,7413100
Honduras,HND,"Population, total",SP.POP.TOTL,9294505,9460798,9626842,9792850,9958829,10121763,10278345
Heavily indebted poor countries (HIPC),HPC,"Population, total",SP.POP.TOTL,727129254,748356635,770390212,792615894,815100831,838066650,861156745
Croatia,HRV,"Population, total",SP.POP.TOTL,4203604,4174349,4124531,4087843,4065253,4047680,3899000
Haiti,HTI,"Population, total",SP.POP.TOTL,10563757,10713849,10863543,11012421,11160438,11306801,11447569
Hungary,HUN,"Population, total",SP.POP.TOTL,9843028,9814023,9787966,9775564,9771141,9750149,9709891
IBRD only,IBD,"Population, total",SP.POP.TOTL,4686050627,4731948335,4776473096,4817627754,4855633857,4889761166,4917520297
IDA & IBRD total,IBT,"Population, total",SP.POP.TOTL,6241291929,6321324033,6401367406,6479097294,6554880269,6628067973,6695397735
IDA total,IDA,"Population, total",SP.POP.TOTL,1555241302,1589375698,1624894310,1661469540,1699246412,1738306807,1777877438
IDA blend,IDB,"Population, total",SP.POP.TOTL,527175885,537358412,547984961,559155599,570633332,582637127,595016031
Indonesia,IDN,"Population, total",SP.POP.TOTL,259091970,261850182,264498852,267066843,269582878,271857970,273753191
IDA only,IDX,"Population, total",SP.POP.TOTL,1028065417,1052017286,1076909349,1102313941,1128613080,1155669680,1182861407
Isle of Man,IMN,"Population, total",SP.POP.TOTL,83593,83450,83580,83775,83933,84046,84263
India,IND,"Population, total",SP.POP.TOTL,1322866505,1338636340,1354195680,1369003306,1383112050,1396387127,1407563842
Not classified,INX,"Population, total",SP.POP.TOTL,,,,,,,
Ireland,IRL,"Population, total",SP.POP.TOTL,4701957,4755335,4807388,4867316,4934340,4985382,5033165
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,81790841,83306231,84505076,85617562,86564202,87290193,87923432
Iraq,IRQ,"Population, total",SP.POP.TOTL,37757813,38697943,39621162,40590700,41563520,42556984,43533592
Iceland,ISL,"Population, total",SP.POP.TOTL,330815,335439,343400,352721,360563,366463,372520
Israel,ISR,"Population, total",SP.POP.TOTL,8380100,8546000,8713300,8882800,9054000,9215100,9364000
Italy,ITA,"Population, total",SP.POP.TOTL,60730582,60627498,60536709,60421760,59729081,59438851,59109668
Jamaica,JAM,"Population, total",SP.POP.TOTL,2794445,2802695,2808376,2811835,2813773,2820436,2827695
Jordan,JOR,"Population, total",SP.POP.TOTL,9494246,9964656,10215381,10459865,10698683,10928721,11148278
Japan,JPN,"Population, total",SP.POP.TOTL,127141000,127076000,126972000,126811000,126633000,126261000,125681593
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,17542806,17794055,18037776,18276452,18513673,18755666,19000988
Kenya,KEN,"Population, total",SP.POP.TOTL,46851488,47894670,48948137,49953304,50951450,51985780,53005614
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,5956900,6079500,6198200,6322800,6456200,6579900,6691800
Cambodia,KHM,"Population, total",SP.POP.TOTL,15417523,15624584,15830689,16025238,16207746,16396860,16589023
Kiribati,KIR,"Population, total",SP.POP.TOTL,116707,118513,120362,122261,124241,126463,128874
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,47790,47788,47785,47761,47712,47642,47606
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51014947,51217803,51361911,51585058,51764822,51836239,51744876
Kuwait,KWT,"Population, total",SP.POP.TOTL,3908743,4048085,4124904,4317185,4441100,4360444,4250114
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,559317823,565136972,571144463,577406030,583500375,588808380,593308001
Lao PDR,LAO,"Population, total",SP.POP.TOTL,6787419,6891363,6997917,7105006,7212053,7319399,7425057
Lebanon,LBN,"Population, total",SP.POP.TOTL,6398940,6258619,6109252,5950839,5781907,5662923,5592631
Liberia,LBR,"Population, total",SP.POP.TOTL,4612329,4706097,4796631,4889391,4985289,5087584,5193416
Libya,LBY,"Population, total",SP.POP.TOTL,6192235,6282196,6378261,6477793,6569088,6653942,6735277
St. Lucia,LCA,"Population, total",SP.POP.TOTL,175623,176413,177163,177888,178583,179237,179651
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,621390109,627668470,633797190,639628226,645295804,650534967,654981699
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,951928215,975265947,999288864,1023493788,1048193552,1073743450,1099568566
Low income,LIC,"Population, total",SP.POP.TOTL,610047256,626382245,643485701,661256583,680013468,699186538,718255072
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,37355,37609,37889,38181,38482,38756,39039
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,20970000,21203000,21444000,21670000,21803000,21919000,22156000
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3134736445,3180221060,3225575822,3270214763,3313903477,3357118135,3398187527
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6162743397,6242647248,6322861019,6401272453,6477841008,6551590116,6619578961
Lesotho,LSO,"Population, total",SP.POP.TOTL,2118521,2143872,2170617,2198017,2225702,2254100,2281454
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2258039271,2272117455,2286564636,2298987320,2309491520,2317277311,2321862159
Lithuania,LTU,"Population, total",SP.POP.TOTL,2904910,2868231,2828403,2801543,2794137,2794885,2800839
Luxembourg,LUX,"Population, total",SP.POP.TOTL,569604,582014,596336,607950,620001,630419,640064
Latvia,LVA,"Population, total",SP.POP.TOTL,1977527,1959537,1942248,1927174,1913822,1900449,1884490
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,615239,626688,638609,650991,663653,676283,686607
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,35020,34811,34496,33852,33121,32553,31948
Morocco,MAR,"Population, total",SP.POP.TOTL,34680458,35107264,35528115,35927511,36304408,36688772,37076584
Monaco,MCO,"Population, total",SP.POP.TOTL,36760,37071,37044,37029,37034,36922,36686
Moldova,MDA,"Population, total",SP.POP.TOTL,2835978,2803186,2755189,2707203,2664224,2635130,2615199
Madagascar,MDG,"Population, total",SP.POP.TOTL,24850912,25501941,26169542,26846541,27533134,28225177,28915653
Maldives,MDV,"Population, total",SP.POP.TOTL,435582,454252,472442,489758,504508,514438,521457
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,440506473,448917409,456885486,465073490,473201775,479966649,486167363
Mexico,MEX,"Population, total",SP.POP.TOTL,120149897,121519221,122839258,124013861,125085311,125998302,126705138
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,49410,48329,47187,45989,44728,43413,42050
Middle income,MIC,"Population, total",SP.POP.TOTL,5552696141,5616265003,5679375318,5740015870,5797827540,5852403578,5901323889
North Macedonia,MKD,"Population, total",SP.POP.TOTL,2070226,2072490,2074502,2076217,2076694,2072531,2065092
Mali,MLI,"Population, total",SP.POP.TOTL,18112907,18700106,19311355,19934298,20567424,21224040,21904983
Malta,MLT,"Population, total",SP.POP.TOTL,445053,455356,467999,484630,504062,515332,518536
Myanmar,MMR,"Population, total",SP.POP.TOTL,51483949,51892349,52288341,52666014,53040212,53423198,53798084
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,378137339,385054538,391607422,398375344,405259403,411810124,418047201
Montenegro,MNE,"Population, total",SP.POP.TOTL,622159,622303,622373,622227,622028,621306,619211
Mongolia,MNG,"Population, total",SP.POP.TOTL,2964749,3029555,3096030,3163991,3232430,3294335,3347782
Northern Mariana Islands,MNP,"Population, total",SP.POP.TOTL,51514,51133,50729,50304,49858,49587,49481
Mozambique,MOZ,"Population, total",SP.POP.TOTL,26843246,27696493,28569441,29423878,30285595,31178239,32077072
Mauritania,MRT,"Population, total",SP.POP.TOTL,3946220,4051890,4160015,4270712,4383849,4498604,4614974
Mauritius,MUS,"Population, total",SP.POP.TOTL,1262605,1263473,1264613,1265303,1265711,1265740,1266060
Malawi,MWI,"Population, total",SP.POP.TOTL,16938942,17405624,17881167,18367883,18867337,19377061,19889742
Malaysia,MYS,"Population, total",SP.POP.TOTL,31068833,31526418,31975806,32399271,32804020,33199993,33573874
North America,NAC,"Population, total",SP.POP.TOTL,356507139,359245796,361731237,363967201,365995094,369602177,370203720
Namibia,NAM,"Population, total",SP.POP.TOTL,2282704,2323352,2364534,2405680,2446644,2489098,2530151
New Caledonia,NCL,"Population, total",SP.POP.TOTL,269460,270220,270810,271170,271230,271130,271030
Niger,NER,"Population, total",SP.POP.TOTL,20128124,20921743,21737922,22577058,23443393,24333639,25252722
Nigeria,NGA,"Population, total",SP.POP.TOTL,183995785,188666931,193495907,198387623,203304492,208327405,213401323
Nicaragua,NIC,"Population, total",SP.POP.TOTL,6298598,6389235,6480532,6572233,6663924,6755895,6850540
Netherlands,NLD,"Population, total",SP.POP.TOTL,16939923,17030314,17131296,17231624,17344874,17441500,17533044
Norway,NOR,"Population, total",SP.POP.TOTL,5188607,5234519,5276968,5311916,5347896,5379475,5408320
Nepal,NPL,"Population, total",SP.POP.TOTL,27610325,27861186,28183426,28506712,28832496,29348627,30034989
Nauru,NRU,"Population, total",SP.POP.TOTL,11185,11437,11682,11924,12132,12315,12511
New Zealand,NZL,"Population, total",SP.POP.TOTL,4609400,4714100,4813600,4900600,4979200,5090200,5122600
OECD members,OED,"Population, total",SP.POP.TOTL,1331743060,1340532342,1348646085,1356241793,1362922537,1370241530,1372736513
Oman,OMN,"Population, total",SP.POP.TOTL,4191776,4398070,4541854,4601157,4602768,4543399,4520471
Other small states,OSS,"Population, total",SP.POP.TOTL,29620768,30309723,30940039,31494217,32005203,32381190,32708003
Pakistan,PAK,"Population, total",SP.POP.TOTL,210969298,213524840,216379655,219731479,223293280,227196741,231402117
Panama,PAN,"Population, total",SP.POP.TOTL,3957099,4026336,4096063,4165255,4232532,4294396,4351267
Peru,PER,"Population, total",SP.POP.TOTL,30711863,31132779,31605486,32203944,32824861,33304756,33715471
Philippines,PHL,"Population, total",SP.POP.TOTL,103031365,104875266,106738501,108568836,110380804,112190977,113880328
Palau,PLW,"Population, total",SP.POP.TOTL,17794,17816,17837,17864,17916,17972,18024
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8682174,8899169,9114796,9329227,9542486,9749640,9949437
Poland,POL,"Population, total",SP.POP.TOTL,37986412,37970087,37974826,37974750,37965475,37899070,37747124
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,856420253,880891473,905987912,931467165,957503246,984213438,1011043183
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3473232,3406672,3325286,3193354,3193694,3281538,3263584
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25258015,25389611,25516321,25638149,25755441,25867467,25971909
Portugal,PRT,"Population, total",SP.POP.TOTL,10358076,10325452,10300300,10283822,10286263,10297081,10325147
Paraguay,PRY,"Population, total",SP.POP.TOTL,6177950,6266615,6355404,6443328,6530026,6618695,6703799
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4270092,4367088,4454805,4569087,4685306,4803269,4922749
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2431426,2457814,2484263,2510226,2536070,2566819,2602173
