Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021
United States,USA,"Population, total",SP.POP.TOTL,320738994,323071755,325122128,326838199,328329953,331501080,331893745
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,31298900,31847900,32388600,32956100,33580350,34232050,34915100
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,106482,105963,105549,105281,104924,104632,104332
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,30529716,30741464,30563433,29825653,28971683,28490453,28199867
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29366,29739,30060,30335,30610,30910,31122
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,107712,107516,107281,107001,106669,106290,105870
Vietnam,VNM,"Population, total",SP.POP.TOTL,92191398,93126529,94033048,94914330,95776716,96648685,97468029
Vanuatu,VUT,"Population, total",SP.POP.TOTL,276438,283218,290239,297298,304404,311685,319137
World,WLD,"Population, total",SP.POP.TOTL,7404910892,7491934113,7578157615,7661776338,7742681934,7820981524,7888408686
Samoa,WSM,"Population, total",SP.POP.TOTL,203571,205544,207630,209701,211905,214929,218764
Kosovo,XKX,"Population, total",SP.POP.TOTL,1788196,1777557,1791003,1797085,1788878,1790133,1786038
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,28516545,29274002,30034389,30790513,31546691,32284046,32981641
South Africa,ZAF,"Population, total",SP.POP.TOTL,55876504,56422274,56641209,57339635,58087055,58801927,59392255
Zambia,ZMB,"Population, total",SP.POP.TOTL,16248230,16767761,17298054,17835893,18380477,18927715,19473125
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14154937,14452704,14751101,15052184,15354608,15669666,15993524
